Episode 1 done, steps = 764, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = -0.00013550305448006839, v_loss = 5.223362445831299, rewards = -21.0, consume time = 4.339658975601196s
Episode 25 done, steps = 19100, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 4.157540798187256, rewards = -21.0, consume time = 116.7429130077362s
Episode 26 done, steps = 19864, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 2.476433277130127, rewards = -21.0, consume time = 121.43184995651245s
Episode 27 done, steps = 20628, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 2.0115771293640137, rewards = -21.0, consume time = 126.02723407745361s
Episode 28 done, steps = 21392, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 1.771188735961914, rewards = -21.0, consume time = 130.59893202781677s
Episode 29 done, steps = 22156, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 1.8300979137420654, rewards = -21.0, consume time = 135.3756730556488s
Episode 30 done, steps = 22920, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 1.194604516029358, rewards = -21.0, consume time = 140.9841799736023s
Episode 31 done, steps = 23684, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 1.5333504676818848, rewards = -21.0, consume time = 145.93021893501282s
Episode 32 done, steps = 24448, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 1.4281108379364014, rewards = -21.0, consume time = 150.79362797737122s
Episode 33 done, steps = 25212, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 1.9326053857803345, rewards = -21.0, consume time = 155.737468957901s
Episode 34 done, steps = 25976, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 1.6855279207229614, rewards = -21.0, consume time = 160.5825800895691s
Episode 35 done, steps = 26740, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 1.61129891872406, rewards = -21.0, consume time = 165.6765730381012s
Episode 36 done, steps = 27504, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 1.625290870666504, rewards = -21.0, consume time = 170.6424720287323s
Episode 37 done, steps = 28268, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 1.5812065601348877, rewards = -21.0, consume time = 176.34849524497986s
Episode 38 done, steps = 29032, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 2.9226856231689453, rewards = -21.0, consume time = 181.49214482307434s
Episode 39 done, steps = 29796, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 2.6274070739746094, rewards = -21.0, consume time = 186.90849804878235s
Episode 40 done, steps = 30560, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 2.581327199935913, rewards = -21.0, consume time = 192.37398600578308s
Episode 41 done, steps = 31324, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 2.5250682830810547, rewards = -21.0, consume time = 198.15827202796936s
Episode 42 done, steps = 32088, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 2.291550874710083, rewards = -21.0, consume time = 202.6610929965973s
Episode 43 done, steps = 32852, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 2.221888780593872, rewards = -21.0, consume time = 207.6513979434967s
Episode 44 done, steps = 33616, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 2.29731822013855, rewards = -21.0, consume time = 213.5979881286621s
Episode 45 done, steps = 34380, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 2.2951905727386475, rewards = -21.0, consume time = 219.21478819847107s
Episode 46 done, steps = 35144, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 2.635403871536255, rewards = -21.0, consume time = 225.18986797332764s
Episode 47 done, steps = 35908, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 6.002335548400879, rewards = -21.0, consume time = 230.21330904960632s
Episode 48 done, steps = 36672, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 2.863225221633911, rewards = -21.0, consume time = 234.85567688941956s
Episode 49 done, steps = 37436, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 2.672208547592163, rewards = -21.0, consume time = 240.28810000419617s
Episode 50 done, steps = 38200, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 2.4839255809783936, rewards = -21.0, consume time = 245.5283350944519s
Episode 51 done, steps = 38964, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 2.5135977268218994, rewards = -21.0, consume time = 249.91404700279236s
Episode 52 done, steps = 39728, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 2.397944688796997, rewards = -21.0, consume time = 254.72143006324768s
Episode 53 done, steps = 40492, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 2.320119857788086, rewards = -21.0, consume time = 259.91115498542786s
Episode 54 done, steps = 41256, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 1.5024168491363525, rewards = -21.0, consume time = 264.7524790763855s
Episode 55 done, steps = 42020, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 1.2625153064727783, rewards = -21.0, consume time = 269.32225584983826s
Episode 56 done, steps = 42784, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 1.2911185026168823, rewards = -21.0, consume time = 274.4623041152954s
Episode 57 done, steps = 43548, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 1.3145302534103394, rewards = -21.0, consume time = 279.30158400535583s
Episode 58 done, steps = 44312, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 1.2778666019439697, rewards = -21.0, consume time = 284.0980279445648s
