Episode 1 done, steps = 824, actions = [0:57/824 | 1:81/824 | 2:172/824 | 3:142/824 | 4:287/824 | 5:85/824, ], loss = -3.919891119003296, rewards = -21.0, consume time = 2.3097620010375977s
Episode 12 done, steps = 9314, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.505510340393812e-06, rewards = -21.0, consume time = 27.027782201766968s
Episode 13 done, steps = 10078, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -6.03524028974789e-07, rewards = -21.0, consume time = 29.255337953567505s
Episode 14 done, steps = 10842, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -3.537489590144105e-07, rewards = -21.0, consume time = 31.52187705039978s
Episode 15 done, steps = 11606, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -2.481490355421556e-07, rewards = -21.0, consume time = 33.81610417366028s
Episode 16 done, steps = 12370, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.9657881011880818e-07, rewards = -21.0, consume time = 36.128201961517334s
Episode 17 done, steps = 13134, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.6973365291050868e-07, rewards = -21.0, consume time = 38.39543128013611s
Episode 18 done, steps = 13898, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.5186694213298324e-07, rewards = -21.0, consume time = 40.68805193901062s
Episode 19 done, steps = 14662, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.4070026566059823e-07, rewards = -21.0, consume time = 42.966127157211304s
Episode 20 done, steps = 15426, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.3176691027183551e-07, rewards = -21.0, consume time = 45.30565023422241s
Episode 21 done, steps = 16190, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.273002254720268e-07, rewards = -21.0, consume time = 47.6373131275177s
Episode 22 done, steps = 16954, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.228335690939275e-07, rewards = -21.0, consume time = 49.95485806465149s
Episode 23 done, steps = 17718, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.1836689139954615e-07, rewards = -21.0, consume time = 52.24504232406616s
Episode 24 done, steps = 18482, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.1390021370516479e-07, rewards = -21.0, consume time = 54.5644211769104s
Episode 25 done, steps = 19246, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.1166687130526043e-07, rewards = -21.0, consume time = 56.867177963256836s
Episode 26 done, steps = 20010, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.0943353601078343e-07, rewards = -21.0, consume time = 59.120933055877686s
Episode 27 done, steps = 20774, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.0720020071630643e-07, rewards = -21.0, consume time = 61.42625403404236s
Episode 28 done, steps = 21538, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.0496685831640207e-07, rewards = -21.0, consume time = 63.76883316040039s
Episode 29 done, steps = 22302, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.0496685831640207e-07, rewards = -21.0, consume time = 66.1602611541748s
Episode 30 done, steps = 23066, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.0273352302192507e-07, rewards = -21.0, consume time = 68.48930621147156s
Episode 31 done, steps = 23830, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.0273352302192507e-07, rewards = -21.0, consume time = 70.78925204277039s
Episode 32 done, steps = 24594, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.0273352302192507e-07, rewards = -21.0, consume time = 73.07439422607422s
Episode 33 done, steps = 25358, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.0273352302192507e-07, rewards = -21.0, consume time = 75.37330102920532s
Episode 34 done, steps = 26122, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.0273352302192507e-07, rewards = -21.0, consume time = 77.65280199050903s
Episode 35 done, steps = 26886, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.0273352302192507e-07, rewards = -21.0, consume time = 79.92094612121582s
Episode 36 done, steps = 27650, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.0273352302192507e-07, rewards = -21.0, consume time = 82.19610810279846s
Episode 37 done, steps = 28414, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.0273352302192507e-07, rewards = -21.0, consume time = 84.46332216262817s
Episode 38 done, steps = 29178, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.0273352302192507e-07, rewards = -21.0, consume time = 86.72666597366333s
Episode 39 done, steps = 29942, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.0273352302192507e-07, rewards = -21.0, consume time = 88.99060034751892s
Episode 40 done, steps = 30706, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.0273352302192507e-07, rewards = -21.0, consume time = 91.42262125015259s
Episode 41 done, steps = 31470, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.0496685831640207e-07, rewards = -21.0, consume time = 94.04639506340027s
Episode 42 done, steps = 32234, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.0496685831640207e-07, rewards = -21.0, consume time = 96.61141014099121s
Episode 43 done, steps = 32998, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.0496685831640207e-07, rewards = -21.0, consume time = 99.14703631401062s
Episode 44 done, steps = 33762, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.0496685831640207e-07, rewards = -21.0, consume time = 101.58277916908264s
Episode 45 done, steps = 34526, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.0496685831640207e-07, rewards = -21.0, consume time = 104.08291506767273s
Episode 46 done, steps = 35290, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.0720020071630643e-07, rewards = -21.0, consume time = 106.6354432106018s
Episode 47 done, steps = 36054, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.0720020071630643e-07, rewards = -21.0, consume time = 109.22592616081238s
Episode 48 done, steps = 36818, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.0720020071630643e-07, rewards = -21.0, consume time = 111.5640549659729s
Episode 49 done, steps = 37582, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.0943353601078343e-07, rewards = -21.0, consume time = 113.84420919418335s
Episode 50 done, steps = 38346, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.0943353601078343e-07, rewards = -21.0, consume time = 116.19005632400513s
Episode 51 done, steps = 39110, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.0943353601078343e-07, rewards = -21.0, consume time = 118.50866413116455s
Episode 52 done, steps = 39874, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.0943353601078343e-07, rewards = -21.0, consume time = 120.79087209701538s
Episode 53 done, steps = 40638, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.1166687130526043e-07, rewards = -21.0, consume time = 123.05867218971252s
Episode 54 done, steps = 41402, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.1166687130526043e-07, rewards = -21.0, consume time = 125.32779121398926s
Episode 55 done, steps = 42166, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.1166687130526043e-07, rewards = -21.0, consume time = 127.61487817764282s
Episode 56 done, steps = 42930, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.1390021370516479e-07, rewards = -21.0, consume time = 129.9244441986084s
Episode 57 done, steps = 43694, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.1390021370516479e-07, rewards = -21.0, consume time = 132.2098832130432s
Episode 58 done, steps = 44458, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.1390021370516479e-07, rewards = -21.0, consume time = 134.48438906669617s
Episode 59 done, steps = 45222, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.1613354899964179e-07, rewards = -21.0, consume time = 136.88246822357178s
Episode 60 done, steps = 45986, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.1613354899964179e-07, rewards = -21.0, consume time = 139.2574782371521s
Episode 61 done, steps = 46750, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.1836689139954615e-07, rewards = -21.0, consume time = 141.58004927635193s
Episode 62 done, steps = 47514, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.1836689139954615e-07, rewards = -21.0, consume time = 143.93464612960815s
Episode 63 done, steps = 48278, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.1836689139954615e-07, rewards = -21.0, consume time = 146.19810914993286s
Episode 64 done, steps = 49042, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.206002195885958e-07, rewards = -21.0, consume time = 148.565612077713s
Episode 65 done, steps = 49806, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.206002195885958e-07, rewards = -21.0, consume time = 151.13532209396362s
Episode 66 done, steps = 50570, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.228335690939275e-07, rewards = -21.0, consume time = 153.5487790107727s
Episode 67 done, steps = 51334, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.228335690939275e-07, rewards = -21.0, consume time = 155.83911228179932s
Episode 68 done, steps = 52098, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.228335690939275e-07, rewards = -21.0, consume time = 158.25184607505798s
Episode 69 done, steps = 52862, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.250668901775498e-07, rewards = -21.0, consume time = 160.80270528793335s
Episode 70 done, steps = 53626, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.250668901775498e-07, rewards = -21.0, consume time = 163.17843198776245s
Episode 71 done, steps = 54390, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.273002254720268e-07, rewards = -21.0, consume time = 165.46409606933594s
Episode 72 done, steps = 55154, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.273002254720268e-07, rewards = -21.0, consume time = 167.77552819252014s
Episode 73 done, steps = 55918, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.295335749773585e-07, rewards = -21.0, consume time = 170.06759905815125s
Episode 74 done, steps = 56682, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.295335749773585e-07, rewards = -21.0, consume time = 172.32673931121826s
Episode 75 done, steps = 57446, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.3176691027183551e-07, rewards = -21.0, consume time = 174.63449215888977s
Episode 76 done, steps = 58210, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.3176691027183551e-07, rewards = -21.0, consume time = 176.9039511680603s
Episode 77 done, steps = 58974, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.3400024556631251e-07, rewards = -21.0, consume time = 179.17334699630737s
Episode 78 done, steps = 59738, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.3400024556631251e-07, rewards = -21.0, consume time = 181.4184329509735s
Episode 79 done, steps = 60502, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.3623358086078952e-07, rewards = -21.0, consume time = 183.643128156662s
Episode 80 done, steps = 61266, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.3623358086078952e-07, rewards = -21.0, consume time = 185.90665435791016s
Episode 81 done, steps = 62030, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.3846691615526652e-07, rewards = -21.0, consume time = 188.19509601593018s
Episode 82 done, steps = 62794, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.4070026566059823e-07, rewards = -21.0, consume time = 190.55608129501343s
Episode 83 done, steps = 63558, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.4070026566059823e-07, rewards = -21.0, consume time = 192.7764401435852s
Episode 84 done, steps = 64322, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.4293360095507524e-07, rewards = -21.0, consume time = 195.0294473171234s
Episode 85 done, steps = 65086, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.4516693624955224e-07, rewards = -21.0, consume time = 197.29145312309265s
Episode 86 done, steps = 65850, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.4516693624955224e-07, rewards = -21.0, consume time = 199.51609706878662s
Episode 87 done, steps = 66614, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.4740027154402924e-07, rewards = -21.0, consume time = 201.73173713684082s
Episode 88 done, steps = 67378, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.4963360683850624e-07, rewards = -21.0, consume time = 203.97282314300537s
Episode 89 done, steps = 68142, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.4963360683850624e-07, rewards = -21.0, consume time = 206.2747781276703s
Episode 90 done, steps = 68906, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.5186694213298324e-07, rewards = -21.0, consume time = 208.58440232276917s
Episode 91 done, steps = 69670, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.5410029163831496e-07, rewards = -21.0, consume time = 210.8520040512085s
Episode 92 done, steps = 70434, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.5633362693279196e-07, rewards = -21.0, consume time = 213.0928430557251s
Episode 93 done, steps = 71198, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.5633362693279196e-07, rewards = -21.0, consume time = 215.39763617515564s
Episode 94 done, steps = 71962, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.5856696222726896e-07, rewards = -21.0, consume time = 217.7385652065277s
Episode 95 done, steps = 72726, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.6080029752174596e-07, rewards = -21.0, consume time = 220.07245326042175s
Episode 96 done, steps = 73490, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.6303363281622296e-07, rewards = -21.0, consume time = 222.59668612480164s
Episode 97 done, steps = 74254, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.6526698232155468e-07, rewards = -21.0, consume time = 224.95979523658752s
Episode 98 done, steps = 75018, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.6750031761603168e-07, rewards = -21.0, consume time = 227.290372133255s
Episode 99 done, steps = 75782, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.6973365291050868e-07, rewards = -21.0, consume time = 229.6488540172577s
Episode 100 done, steps = 76546, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.7196698820498568e-07, rewards = -21.0, consume time = 231.97078013420105s
Episode 101 done, steps = 77310, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.7420032349946268e-07, rewards = -21.0, consume time = 234.2614803314209s
Episode 102 done, steps = 78074, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.764336730047944e-07, rewards = -21.0, consume time = 236.62476420402527s
Episode 103 done, steps = 78838, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.786670082992714e-07, rewards = -21.0, consume time = 238.9238531589508s
Episode 104 done, steps = 79602, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.809003293828937e-07, rewards = -21.0, consume time = 241.178471326828s
Episode 105 done, steps = 80366, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.831336646773707e-07, rewards = -21.0, consume time = 243.43287229537964s
Episode 106 done, steps = 81130, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.853669999718477e-07, rewards = -21.0, consume time = 245.73595523834229s
Episode 107 done, steps = 81894, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.876003352663247e-07, rewards = -21.0, consume time = 248.08709621429443s
Episode 108 done, steps = 82658, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -1.898336705608017e-07, rewards = -21.0, consume time = 250.45941615104675s
